"last_name, first_name","player_id","year"
"Gallo, Joey",608336,2021
"Benintendi, Andrew",643217,2021
"Grichuk, Randal",545341,2021
"Castellanos, Nick",592206,2021
"Kiner-Falefa, Isiah",643396,2021
"Díaz, Yandy",650490,2021
"Santana, Carlos",467793,2021
"Báez, Javier",595879,2021
"Renfroe, Hunter",592669,2021
"Moncada, Yoán",660162,2021
"Carlson, Dylan",666185,2021
"Tatis Jr., Fernando",665487,2021
"Merrifield, Whit",593160,2021
"Donaldson, Josh",518626,2021
"Iglesias, Jose",578428,2021
"Turner, Justin",457759,2021
"Canha, Mark",592192,2021
"Machado, Manny",592518,2021
"Verdugo, Alex",657077,2021
"Straw, Myles",664702,2021
"Tucker, Kyle",663656,2021
"Cruz Jr., Nelson",443558,2021
"Aguilar, Jesús",542583,2021
"Yastrzemski, Mike",573262,2021
"Story, Trevor",596115,2021
"Ramírez, José",608070,2021
"Riley, Austin",663586,2021
"Stanton, Giancarlo",519317,2021
"Andrus, Elvis",462101,2021
"France, Ty",664034,2021
"Judge, Aaron",592450,2021
"Rojas, Josh",668942,2021
"Abreu, José",547989,2021
"Newman, Kevin",621028,2021
"Alvarez, Yordan",670541,2021
"Edman, Tommy",669242,2021
"Mountcastle, Ryan",663624,2021
"Mullins II, Cedric",656775,2021
"Chisholm Jr., Jazz",665862,2021
"Sanó, Miguel",593934,2021
"Crawford, J.P.",641487,2021
"Taylor, Michael A.",572191,2021
"Farmer, Kyle",571657,2021
"Rizzo, Anthony",519203,2021
"Soto, Juan",665742,2021
"Lopez, Nicky",670032,2021
"Fletcher, David",664058,2021
"Devers, Rafael",646240,2021
"Olson, Matt",621566,2021
"Hernández, Enrique",571771,2021
"McMahon, Ryan",641857,2021
"Taylor, Chris",621035,2021
"Betts, Mookie",605141,2021
"Semien, Marcus",543760,2021
"Realmuto, J.T.",592663,2021
"Smith, Pavin",656976,2021
"Happ, Ian",664023,2021
"Ohtani, Shohei",660271,2021
"Cron, C.J.",543068,2021
"Cabrera, Miguel",408234,2021
"Segura, Jean",516416,2021
"Walsh, Jared",665120,2021
"Villar, Jonathan",542340,2021
"LeMahieu, DJ",518934,2021
"Alonso, Pete",624413,2021
"Perez, Salvador",521692,2021
"Hosmer, Eric",543333,2021
"Harper, Bryce",547180,2021
"Lowe, Brandon",664040,2021
"O'Neill, Tyler",641933,2021
"Adames, Willy",642715,2021
"Tapia, Raimel",606132,2021
"Cronenworth, Jake",630105,2021
"Polanco, Jorge",593871,2021
"Arozarena, Randy",668227,2021
"Seager, Kyle",572122,2021
"Grisham, Trent",663757,2021
"Lowrie, Jed",476704,2021
"Crawford, Brandon",543063,2021
"Bryant, Kris",592178,2021
"Arenado, Nolan",571448,2021
"Martinez, J.D.",502110,2021
"Dozier, Hunter",641531,2021
"García, Adolis",666969,2021
"Lowe, Nathaniel",663993,2021
"Marte, Starling",516782,2021
"Haniger, Mitch",571745,2021
"Gurriel Jr., Lourdes",666971,2021
"Meadows, Austin",640457,2021
"Altuve, Jose",514888,2021
"Freeman, Freddie",518692,2021
"Votto, Joey",458015,2021
"India, Jonathan",663697,2021
"Grossman, Robbie",543257,2021
"Suárez, Eugenio",553993,2021
"Frazier, Adam",624428,2021
"Solak, Nick",669256,2021
"Pham, Tommy",502054,2021
"Schoop, Jonathan",570731,2021
"Chapman, Matt",656305,2021
"Gurriel Jr., Yuli",493329,2021
"Hernández, Teoscar",606192,2021
"Muncy, Max",571970,2021
"Albies, Ozzie",645277,2021
"Lindor, Francisco",596019,2021
"Reynolds, Bryan",668804,2021
"Swanson, Dansby",621020,2021
"Hernández, César",514917,2021
"Anderson, Tim",641313,2021
"Duvall, Adam",594807,2021
"Soler, Jorge",624585,2021
"Rojas, Miguel",500743,2021
"Goldschmidt, Paul",502671,2021
"Blackmon, Charlie",453568,2021
"Harrison, Josh",543281,2021
"Turner, Trea",607208,2021
"McCutchen, Andrew",457705,2021
"Candelario, Jeimer",600869,2021
"Urías, Luis",649966,2021
"Mancini III, Trey",641820,2021
"Bell, Josh",605137,2021
"Peralta, David",444482,2021
"García, Avisaíl",541645,2021
"Brantley Jr., Michael",488726,2021
"Guerrero Jr., Vladimir",665489,2021
"Torres, Gleyber",650402,2021
"Correa, Carlos",621043,2021
"Escobar, Eduardo",500871,2021
"Bogaerts, Xander",593428,2021
"Bichette, Bo",666182,2021
"Hays, Austin",669720,2021
"Rosario, Amed",642708,2021
"Díaz, Yandy",650490,2022
"Soto, Juan",665742,2022
"Melendez Jr., MJ",669004,2022
